,Survived,Pclass,Sex,Age,SibSp,Parch,Embarked
774,1,2,0,54.0,1,3,2
775,0,3,1,18.0,0,0,2
776,0,3,1,28.0,0,0,1
777,1,3,0,5.0,0,0,2
778,0,3,1,28.0,0,0,1
779,1,1,0,43.0,0,1,2
780,1,3,0,13.0,0,0,0
781,1,1,0,17.0,1,0,2
782,0,1,1,29.0,0,0,2
783,0,3,1,28.0,1,2,2
784,0,3,1,25.0,0,0,2
785,0,3,1,25.0,0,0,2
786,1,3,0,18.0,0,0,2
787,0,3,1,8.0,4,1,1
788,1,3,1,1.0,1,2,2
789,0,1,1,46.0,0,0,0
790,0,3,1,28.0,0,0,1
791,0,2,1,16.0,0,0,2
792,0,3,0,28.0,8,2,2
793,0,1,1,28.0,0,0,0
794,0,3,1,25.0,0,0,2
795,0,2,1,39.0,0,0,2
796,1,1,0,49.0,0,0,2
797,1,3,0,31.0,0,0,2
798,0,3,1,30.0,0,0,0
799,0,3,0,30.0,1,1,2
800,0,2,1,34.0,0,0,2
801,1,2,0,31.0,1,1,2
802,1,1,1,11.0,1,2,2
803,1,3,1,0.42,0,1,0
804,1,3,1,27.0,0,0,2
805,0,3,1,31.0,0,0,2
806,0,1,1,39.0,0,0,2
807,0,3,0,18.0,0,0,2
808,0,2,1,39.0,0,0,2
809,1,1,0,33.0,1,0,2
810,0,3,1,26.0,0,0,2
811,0,3,1,39.0,0,0,2
812,0,2,1,35.0,0,0,2
813,0,3,0,6.0,4,2,2
814,0,3,1,30.5,0,0,2
815,0,1,1,28.0,0,0,2
816,0,3,0,23.0,0,0,2
817,0,2,1,31.0,1,1,0
818,0,3,1,43.0,0,0,2
819,0,3,1,10.0,3,2,2
820,1,1,0,52.0,1,1,2
821,1,3,1,27.0,0,0,2
822,0,1,1,38.0,0,0,2
823,1,3,0,27.0,0,1,2
824,0,3,1,2.0,4,1,2
825,0,3,1,28.0,0,0,1
826,0,3,1,28.0,0,0,2
827,1,2,1,1.0,0,2,0
828,1,3,1,28.0,0,0,1
829,1,1,0,62.0,0,0,2
830,1,3,0,15.0,1,0,0
831,1,2,1,0.83,1,1,2
832,0,3,1,28.0,0,0,0
833,0,3,1,23.0,0,0,2
834,0,3,1,18.0,0,0,2
835,1,1,0,39.0,1,1,0
836,0,3,1,21.0,0,0,2
837,0,3,1,28.0,0,0,2
838,1,3,1,32.0,0,0,2
839,1,1,1,28.0,0,0,0
840,0,3,1,20.0,0,0,2
841,0,2,1,16.0,0,0,2
842,1,1,0,30.0,0,0,0
843,0,3,1,34.5,0,0,0
844,0,3,1,17.0,0,0,2
845,0,3,1,42.0,0,0,2
846,0,3,1,28.0,8,2,2
847,0,3,1,35.0,0,0,0
848,0,2,1,28.0,0,1,2
849,1,1,0,28.0,1,0,0
850,0,3,1,4.0,4,2,2
851,0,3,1,74.0,0,0,2
852,0,3,0,9.0,1,1,0
853,1,1,0,16.0,0,1,2
854,0,2,0,44.0,1,0,2
855,1,3,0,18.0,0,1,2
856,1,1,0,45.0,1,1,2
857,1,1,1,51.0,0,0,2
858,1,3,0,24.0,0,3,0
859,0,3,1,28.0,0,0,0
860,0,3,1,41.0,2,0,2
861,0,2,1,21.0,1,0,2
862,1,1,0,48.0,0,0,2
863,0,3,0,28.0,8,2,2
864,0,2,1,24.0,0,0,2
865,1,2,0,42.0,0,0,2
866,1,2,0,27.0,1,0,0
867,0,1,1,31.0,0,0,2
868,0,3,1,28.0,0,0,2
869,1,3,1,4.0,1,1,2
870,0,3,1,26.0,0,0,2
871,1,1,0,47.0,1,1,2
872,0,1,1,33.0,0,0,2
873,0,3,1,47.0,0,0,2
874,1,2,0,28.0,1,0,0
875,1,3,0,15.0,0,0,0
876,0,3,1,20.0,0,0,2
877,0,3,1,19.0,0,0,2
878,0,3,1,28.0,0,0,2
879,1,1,0,56.0,0,1,0
880,1,2,0,25.0,0,1,2
881,0,3,1,33.0,0,0,2
882,0,3,0,22.0,0,0,2
883,0,2,1,28.0,0,0,2
884,0,3,1,25.0,0,0,2
885,0,3,0,39.0,0,5,1
886,0,2,1,27.0,0,0,2
887,1,1,0,19.0,0,0,2
888,0,3,0,28.0,1,2,2
889,1,1,1,26.0,0,0,0
890,0,3,1,32.0,0,0,1
